Serbian,English
spavaćoj,bedroom
ukraden,stolen
braon,brown
termin,appointment
jednostavna,simple
frižider,fridge
tame,darkness
viđa,see
zabavljaš,you're having fun
iskoristimo,let's use
javili,report
pozajmim,borrow
postajem,become
for,for
istrazi,investigation
roditelj,parent
razumjeti,understand
sjajnu,shiny
осим,except
operi,do the washing up
indijanci,Indians
putevi,roads
bandi,gang
cijenu,pricing
lekova,medicine
izađu,go out
košulja,shirt
prihvatila,accepted
opušteno,relaxed
obuku,training
zaspala,fell asleep
ikakve,anyway
posljednje,last
senatore,Senator
profesionalni,professional
keš,cache
analizu,analysis
пуно,A lot
slatke,sweet
karakter,nature
ispričajte,apologize
mučenje,torture
ispasti,turn out
čovjeku,man
božje,God's
plavu,blue
homere,Homer
napravljena,made
viskija,whiskey
potražiti,to search
fine,fine
prizna,confess
otpora,resistance
slijedi,followed
salu,salt
mesečno,monthly
čudesno,miraculously
slavimo,we are celebrating
učenje,learning
ala,Ala
otpustiti,lay off
osvete,revenge
koktel,cocktail
odgovarati,it suits you
spavamo,we sleep
stakla,glass
južnoj,southern
nervira,annoying
venčali,married
pat,pat
serijski,serial
molly,Molly
mogući,possible
čaša,o'clock
iznenadio,surprised
protokol,protocol
washington,Washington
jastuk,pillow
zaustaviš,you stop
kandidat,candidate
angel,Angel
pomeraj,move
zapalio,set fire
ugled,reputation
učenika,pupil
odgovorila,replied
otisaka,prints
zabavlja,amusing
izvukla,pulled out
једног,one
okruga,district
baciš,you throw
spremam,I'm getting ready
kućama,houses
opasne,dangerous
planirala,planned
